Time, P (deg/s), Q (deg/s), R (deg/s), P dot (deg/s^2), Q dot (deg/s^2), R dot (deg/s^2), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), F_{Drag} (lbs), F_{Side} (lbs), F_{Lift} (lbs), L/D, F_{Aero x} (lbs), F_{Aero y} (lbs), F_{Aero z} (lbs), F_{Prop x} (lbs), F_{Prop y} (lbs), F_{Prop z} (lbs), F_{Gear x} (lbs), F_{Gear y} (lbs), F_{Gear z} (lbs), F_{Ext x} (lbs), F_{Ext y} (lbs), F_{Ext z} (lbs), F_{Buoyant x} (lbs), F_{Buoyant y} (lbs), F_{Buoyant z} (lbs), F_{Total x} (lbs), F_{Total y} (lbs), F_{Total z} (lbs), L_{Aero} (ft-lbs), M_{Aero} ( ft-lbs), N_{Aero} (ft-lbs), L_{Prop} (ft-lbs), M_{Prop} (ft-lbs), N_{Prop} (ft-lbs), L_{Gear} (ft-lbs), M_{Gear} (ft-lbs), N_{Gear} (ft-lbs), L_{ext} (ft-lbs), M_{ext} (ft-lbs), N_{ext} (ft-lbs), L_{Buoyant} (ft-lbs), M_{Buoyant} (ft-lbs), N_{Buoyant} (ft-lbs), L_{Total} (ft-lbs), M_{Total} (ft-lbs), N_{Total} (ft-lbs), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), ECEF X (ft), ECEF Y (ft), ECEF Z (ft), EPA (deg), Distance AGL (ft), Terrain Radius (ft), WOW
0.0833333, -0.0000000891480504, 0.0990218430959885, 0.0000001468682536, -0.0000026337360952, 0.7137654623185749, 0.0000060848480772, 135.1692287, 28581664.43, 368.795200363, 1570.26876653, 368.7898470253974779, 0.0000108841009716, 1.9870938110044016, 368.7898470253974779, 0.0000108841009716, 1.9870938110044016, 368.7356683441690279, 0.0000088403033724, 1.7819452921424666, -11125.85257 , -0.006093610977 , -49146.36572, 4.417312327, -10884.67279 , -0.006360280082 , -49200.34306, 39465.49114 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 28580.8183461746739340, -0.0063602800815988, -49200.3430585406822502, -0.04643588133 , 4658.94785 , 0.6072150098, 0 , 30438.77914 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -0.0464358813347816, 35097.7269946172964410, 0.6072150098193643, 5999.9251236171, 5999.9251236171, -0.0000000017525538, 0.0049472985363901, 0.0000000012556503, 0.30871508254034, 1.6909467752152e-06, 9.2447714976954e-05, 6.1145287673252e-13, 20931649.9250963702797890, 0.0000002233797596, 33.7735729625176901, 0.00038298997884742, 5999.9251236171, 20925650, 0
0.18333326, -0.0000009047761770, 0.0955976503828451, 0.0000026241933090, -0.0000130705145977, -0.5531097469681751, 0.0000419022937921, 135.6606691, 28633647.61, 369.463529627, 1570.42566003, 369.4411048889554081, 0.0000508027562378, 4.0705949036276454, 369.4411048889554081, 0.0000508027562378, 4.0705949036276454, 369.3878528307986926, 0.0000470114340001, 3.8051698915159693, -11437.70005 , -0.03208421055 , -54715.20717, 4.78375958, -10859.09769 , -0.03352241494 , -54832.97252, 39463.35127 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 28604.2535803675236821, -0.0335224149438739, -54832.9725203208581661, -0.2297200048 , -57634.95346 , 2.922360022, 0 , 30437.0917 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -0.2297200047520068, -27197.8617511904485582, 2.9223600220965862, 5999.6447604448, 5999.6447604448, -0.0000000419175197, 0.0158646242572677, 0.0000001068897688, 0.63127375261669, 7.8784056107812e-06, 0.00019347019771105, 7.5926172982756e-12, 20931649.6446411125361919, 0.0000027737820337, 70.6797323499655192, 0.00080079722849916, 5999.6447604448, 20925650, 0
0.28333322, -0.0000031076643914, -0.0273118894684627, 0.0000100016427727, -0.0000290240612241, -1.6908837512679420, 0.0000987446313581, 136.1610242, 28686530.64, 370.14164483, 1570.58515575, 370.0930987753202999, 0.0001156912709916, 5.9946206271525853, 370.0930987753202999, 0.0001156912709916, 5.9946206271525853, 370.0407326192479331, 0.0001134139181501, 5.7095544102390461, -11731.30702 , -0.07574936853 , -59910.38405, 5.106880587, -10784.12602 , -0.07921928431 , -60088.10454, 39461.40253 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 28677.2765079071250511, -0.0792192843146965, -60088.1045414601758239, -0.5098064007 , -113580.7509 , 6.307653824, 0 , 30435.54963 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -0.5098064006824667, -83145.2012387767608743, 6.3076538242036690, 5999.1680805385, 5999.1680805385, -0.0000002282759213, 0.0203512223753871, 0.0000006879261739, 0.92797307744986, 1.7908337803209e-05, 0.00029467127381845, 2.8932586877312e-11, 20931649.1678037159144878, 0.0000105698318102, 107.6511345766113408, 0.0012186044781509, 5999.1680805385, 20925650, 0
0.38333318, -0.0000070983597227, -0.2544622658490691, 0.0000237586191303, -0.0000479254622211, -2.6594107747931028, 0.0001661131915799, 136.6695929, 28740232.29, 370.828593544, 1570.74705402, 370.7487188271016407, 0.0001998348763935, 7.6963158842038863, 370.7487188271016407, 0.0001998348763935, 7.6963158842038863, 370.6951021514429954, 0.0002060772959431, 7.5047580056375507, -12047.03681 , -0.13327764 , -64564.4484, 5.359363421, -10727.31698 , -0.1395238052 , -64796.78822, 39459.63487 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 28732.3178840624459554, -0.1395238051763510, -64796.7882226419169456, -0.8425753611 , -161204.3636 , 10.12452436, 0 , 30434.14519 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -0.8425753611452980, -130770.2184392947528977, 10.1245243628574801, 5998.5065166242, 5998.5065166242, -0.0000007217493746, 0.0071856594211565, 0.0000023174432438, 1.1892235194584, 3.0875976970194e-05, 0.00039605126786325, 7.2085525487143e-11, 20931648.5060165524482727, 0.0000263347297457, 144.6878972484159078, 0.0016364117278026, 5998.5065166242, 20925650, 0
0.48333314, -0.0000130328136921, -0.5673179642726885, 0.0000444104464532, -0.0000674376624999, -3.4352678895036393, 0.0002350502983271, 137.1853249, 28794635.46, 371.522950954, 1570.91101037, 371.4108306722893644, 0.0002970468075048, 9.1267707616132192, 371.4108306722893644, 0.0002970468075048, 9.1267707616132192, 371.3507622332969618, 0.0003232370202886, 9.2038968682235982, -12346.11283 , -0.2004621988 , -68544.1079, 5.551877652, -10678.2794 , -0.2100540909 , -68823.65567, 39458.04176 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 28779.7623636657372117, -0.2100540909328351, -68823.6556662130024051, -1.188680734 , -199354.0203 , 13.84182544, 0 , 30432.87334 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -1.1886807338598504, -168921.1469799598271493, 13.8418254358504988, 5997.6703568622, 5997.6703568622, -0.0000017122841477, -0.0331466298213821, 0.0000056673900568, 1.4076601686888, 4.5810167282567e-05, 0.00049761055075683, 1.4399284722432e-10, 20931647.6695674434304237, 0.0000526043548938, 181.7901549706313915, 0.0020542189774544, 5997.6703568622, 20925650, 0
0.5833331, -0.0000208549396688, -0.9457938249966272, 0.0000716870987973, -0.0000856196833349, -4.0042914451918286, 0.0002985251291524, 137.7083719, 28849750.17, 372.224919884, 1571.07706039, 372.0837138841457090, 0.0004012979055643, 10.2518703134729847, 372.0837138841457090, 0.0004012979055643, 10.2518703134729847, 372.0087176617544742, 0.0004633952817660, 10.8228343042007289, -12593.32194 , -0.2731421745 , -71753.72801, 5.69776016, -10627.77406 , -0.2864228262 , -72071.07366, 39456.61244 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 28828.8383741600482608, -0.2864228262201494, -72071.0736625528516015, -1.515945829 , -227333.2495 , 17.05615958, 0 , 30431.72577 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -1.5159458288064815, -196901.5237110658199526, 17.0561595768572616, 5996.66843367, 5996.6684336737, -0.0000033983012904, -0.1082246287453542, 0.0000114214158953, 1.5782478888164, 6.1770922051174e-05, 0.00059934959902422, 2.5114830081801e-10, 20931646.6672884523868561, 0.0000917510415918, 218.9580809863050490, 0.0024720262271061, 5996.6684336737, 20925650, 0
0.68333306, -0.0000303439598001, -1.3687050073673042, 0.0001047350001707, -0.0001010447342336, -4.3592480684193067, 0.0003515621717329, 138.2391991, 28905619.54, 372.935114746, 1571.24535339, 372.7713036979272374, 0.0005072093134542, 11.0523730439364467, 372.7713036979272374, 0.0005072093134542, 11.0523730439364467, 372.6700481353676082, 0.0006253616938449, 12.3792956253997701, -12784.77907 , -0.3475546162 , -74135.71909, 5.798748549, -10592.52286 , -0.3646444295 , -74480.56042, 39455.33629 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 28862.8134324859602202, -0.3646444294985302, -74480.5604169488069601, -1.80082832 , -244786.3599 , 19.49868686, 0 , 30430.69431 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -1.8008283199842390, -214355.6655527469411027, 19.4986868595208449, 5995.5078927502, 5995.5078927502, -0.0000059707423515, -0.2235566654721951, 0.0000202070807517, 1.6982768429312, 7.7924958226054e-05, 0.00070126919223123, 3.9967703067187e-10, 20931645.5063249245285988, 0.0001460124624020, 256.1919592860743364, 0.0028898334767578, 5995.5078927502, 20925650, 0
0.78333302, -0.0000411689195394, -1.8146959285434749, 0.0001423218670105, -0.0001128453871896, -4.5023104815196549, 0.0003912073495218, 138.7784588, 28962306.31, 373.654386664, 1571.41609749, 373.4766497831562333, 0.0006103971073938, 11.5235732109569220, 373.4766497831562333, 0.0006103971073938, 11.5235732109569220, 373.3357016379897573, 0.0008082745610933, 13.8920093225675618, -12919.1643 , -0.4205873011 , -75670.11709, 5.857199069, -10584.42053 , -0.44140451 , -76031.8451, 39454.20394 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 28869.7834050906276389, -0.4414045100032856, -76031.8450981814385159, -2.028707875 , -251820.1837 , 21.03046232, 0 , 30429.77171 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -2.0287078753238239, -221390.4119572336785495, 21.0304623233595720, 5994.1940500923, 5994.1940500923, -0.0000096019765477, -0.3825159640930579, 0.0000325484906285, 1.7672931103909, 9.3597665720287e-05, 0.00080337038799758, 5.9542304930539e-10, 20931644.1919924989342690, 0.0002175235839668, 293.4921754630150303, 0.0033076407264096, 5994.1940500923, 20925650, 0
0.88333298, -0.0000529442518860, -2.2631443226109078, 0.0001830295027226, -0.0001206988420251, -4.4443712083458804, 0.0004163496544562, 139.3269447, 29019887.89, 374.383758466, 1571.58954481, 374.2016931131110482, 0.0007076699882268, 11.6743939477512946, 374.2016931131110482, 0.0007076699882268, 11.6743939477512946, 374.0064729582573477, 0.0010116047135249, 15.3798760905472633, -12997.59252 , -0.489931356 , -76372.70211, 5.875911405, -10609.51199 , -0.5142320662 , -76740.89714, 39453.20751 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 28843.6955205685408146, -0.5142320662202455, -76740.8971392371313414, -2.193369965 , -248970.3299 , 21.62860971, 0 , 30428.95192 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -2.1933699645894942, -218541.3779422169027384, 21.6286097135575943, 5992.730333522, 5992.730333522, -0.0000144392074646, -0.5863693956130116, 0.0000488387257192, 1.7869417205669, 0.00010830198437075, 0.0009056544828633, 8.4404011006286e-10, 20931642.7277186326682568, 0.0003083498650634, 330.8592023990266284, 0.0037254479760613, 5992.730333522, 20925650, 0
0.98333294, -0.0000652806776710, -2.6949734903045597, 0.0002254221556117, -0.0001247593284215, -4.2039689602682522, 0.0004274354082021, 139.8855426, 29078451.17, 375.124357505, 1571.76597581, 374.9472434036124469, 0.0007970914398753, 11.5259818273966239, 374.9472434036124469, 0.0007970914398753, 11.5259818273966239, 374.6829884369510069, 0.0012351437935408, 16.8611915295293109, -13023.39025 , -0.5541397475 , -76291.74999, 5.858056044, -10668.00755 , -0.5815699242 , -76656.59414, 39452.34089 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 28784.3333412952924846, -0.5815699241574651, -76656.5941355077666230, -2.295859499 , -237148.3918 , 21.36597454, 0 , 30428.2302 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -2.2958594994973769, -206720.1615954821463674, 21.3659745378986443, 5991.1183049269, 5991.1183049269, -0.0000206017255031, -0.8343923736760586, 0.0000693300716830, 1.7607336323996, 0.00012174622859135, 0.0010081229681396, 1.151081453049e-09, 20931641.1150648519396782, 0.0004205200430019, 368.2935841196215847, 0.004143255225713, 5991.1183049269, 20925650, 0
1.0833329, -0.0000778270138595, -3.0933386372344400, 0.0002681820900505, -0.0001255529884439, -3.8059101904146226, 0.0004261160752217, 140.4551833, 29138087.36, 375.87735044, 1571.94568399, 375.7131256209427761, 0.0008779261770606, 11.1098968887982252, 375.7131256209427761, 0.0008779261770606, 11.1098968887982252, 375.3656969491368045, 0.0014789793152290, 18.3529510078187599, -13001.79525 , -0.6126039262 , -75503.64744, 5.807170931, -10755.17861 , -0.6427552075 , -75856.26928, 39451.59986 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 28696.4212482731927594, -0.6427552075190744, -75856.2692814036563504, -2.342935864 , -217574.1655 , 20.38696588, 0 , 30427.6033 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -2.3429358640069746, -187146.5622075647115707, 20.3869658801649472, 5989.3577563018, 5989.357756298, -0.0000281812344415, -1.1240589362201137, 0.0000941390862144, 1.6937517746505, 0.00013382414513223, 0.0011107774824267, 1.5220844782833e-09, 20931639.3538227751851082, 0.0005560570667766, 405.7959184326664968, 0.0045610624753648, 5989.357756298, 20925650, 0
1.18333286, -0.0000903001856297, -3.4441625198260790, 0.0003102080416842, -0.0001238533561973, -3.2796852375430587, 0.0004148688482909, 141.0367975, 29198887.34, 376.64388336, 1572.12896154, 376.4984430590650391, 0.0009504961641948, 10.4660042732843639, 376.4984430590650391, 0.0009504961641948, 10.4660042732843639, 376.0548679172113680, 0.0017434590955862, 19.8702597004503616, -12939.59762 , -0.6654651205 , -74107.6433, 5.727198437, -10862.86237 , -0.6979272231 , -74440.40706, 39450.9821 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 28588.1197306400827074, -0.6979272230596330, -74440.4070582683198154, -2.345349271 , -191697.7673 , 18.88212238, 0 , 30427.06945 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -2.3453492707798036, -161270.6978480663965456, 18.8821223809490633, 5987.4468701966, 5987.4468702003, -0.0000372444870946, -1.4512930961660588, 0.0001232629691884, 1.5923133291585, 0.00014459127446549, 0.0012136197626016, 1.9626470761908e-09, 20931637.4421745762228966, 0.0007170059823912, 443.3668390103887305, 0.0049788697250165, 5987.4468702003, 20925650, 0
1.28333282, -0.0001025025480280, -3.7365060245554860, 0.0003506758956611, -0.0001205550941056, -2.6577849520338730, 0.0003966245029592, 141.6312761, 29260937.41, 377.425029702, 1572.31608668, 377.3018950106359171, 0.0010159739865786, 9.6401797778266491, 377.3018950106359171, 0.0010159739865786, 9.6401797778266491, 376.7505974359311836, 0.0020291478097431, 21.4258646247982085, -12844.74268 , -0.7134789343 , -72220.03176, 5.622536281, -10981.2502 , -0.7478832691 , -72526.77124, 39450.4872 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 28469.2370025060918124, -0.7478832691302896, -72526.7712351569789462, -2.31612571 , -161116.8577 , 17.06358859, 0 , 30426.62831 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -2.3161257101213932, -130690.2294009855104377, 17.0635885860453342, 5985.3824332543, 5985.3824332543, -0.0000478375339881, -1.8107655816470614, 0.0001566035247919, 1.4636064148406, 0.00015423201282309, 0.0013166515953473, 2.478493080886e-09, 20931635.3769065067172050, 0.0009054578444223, 481.0069976721252942, 0.0053966769746682, 5985.3824332543, 20925650, 0
1.38333278, -0.0001143272274255, -3.9627697670796027, 0.0003890639897685, -0.0001165605708194, -1.9740201730933429, 0.0003744301555899, 142.2394367, 29324315.84, 378.221747451, 1572.50731307, 378.1220889173520163, 0.0010761411716943, 8.6819419784957041, 378.1220889173520163, 0.0010761411716943, 8.6819419784957041, 377.4528233471105523, 0.0023367784484411, 23.0298189764575696, -12725.9159 , -0.7578521754 , -69968.06713, 5.498077125, -11100.63947 , -0.7939035817 , -70244.25355, 39450.11649 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 28349.4770185757079162, -0.7939035816835119, -70244.2535451503063086, -2.269003131 , -127494.0057 , 15.14322319, 0 , 30426.28092 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -2.2690031314927999, -97067.7248184628551826, 15.1432231850280541, 5983.1600898467, 5983.1600898467, -0.0000599909747097, -2.1962191756148703, 0.0001939951510153, 1.3153192167182, 0.00016302168830313, 0.0014198747715693, 3.0755250714155e-09, 20931633.1536625549197197, 0.0011235690054269, 518.7170477252182081, 0.00581448422432, 5983.1600898467, 20925650, 0
1.48333274, -0.0001257533875397, -4.1187324037015234, 0.0004251477475731, -0.0001126891953750, -1.2619345896919845, 0.0003511665847274, 142.8619977, 29389090.11, 379.034846249, 1572.70286152, 378.9577980402127082, 0.0011331366949029, 7.6421184546785543, 378.9577980402127082, 0.0011331366949029, 7.6421184546785543, 378.1613494157387549, 0.0026672013631951, 24.6892826028080954, -12592.12947 , -0.8000695309 , -67483.89629, 5.359212391, -11212.88426 , -0.8375652701 , -67726.72448, 39449.87284 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, 28236.9885861677721550, -0.8375652700771337, -67726.7244839817140019, -2.217113632 , -92478.6448 , 13.31454258, 0 , 30426.02948 , 0, 0 , 0 , 0, 0 , 0 , 0, 0 , 0 , 0, -2.2171136321589056, -62052.6153157174121588, 13.3145425806787845, 5980.7746226341, 5980.7746226341, -0.0000737256791013, -2.6008059643638144, 0.0002352336895918, 1.1552785005465, 0.00017128755158959, 0.0015232910461907, 3.7598634964611e-09, 20931630.7672249861061573, 0.0013735754089235, 556.4976292738326720, 0.0062322914739717, 5980.7746226341, 20925650, 0
