Time, Aileron Command (norm), Elevator Command (norm), Rudder Command (norm), Flap Command (norm), Left Aileron Position (deg), Right Aileron Position (deg), Elevator Position (deg), Rudder Position (deg), Flap Position (deg), P (deg/s), Q (deg/s), R (deg/s), P dot (deg/s^2), Q dot (deg/s^2), R dot (deg/s^2), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), ECEF X (ft), ECEF Y (ft), ECEF Z (ft), EPA (deg), Distance AGL (ft), Terrain Radius (ft), Pitch Trim Sum, Elevator Control, elevator normalization, Roll-Trim-Sum, Left Aileron Control, Right Aileron Control, left aileron normalization, right aileron normalization, Rudder Command Sum, Yaw Damper Rate, Yaw Damper Beta, Yaw Damper Sum, Yaw Damper Final, Rudder Sum, Rudder Control, rudder normalization, Flaps Control, flap normalization, Gear Control, Speedbrake Control, vc-kts, alphadot-deg sec, betadot-deg sec, throttle-cmd-norm
0, 0, 0, 0, 0, 0, 0, 0.573142116, 0, 0, 0.0000000000000000, -0.0000000008259282, 0.0000000000000000, 0.0000000000000000, -0.0000000991114767, 0.0000000000000000, 210.3790994, 16906455.52, 449.744963572, 1591.13527058, 449.6851628008903390, 0.0000000000000000, -7.3339358342045973, 449.6851628008903390, 0.0000000000000000, -7.3339358342045973, 449.7449631192943116, 0.0000000000000000, 0.0000000000000027, 4500.0000003353, 4500.0000003353, 0.0000000000000000, -0.9343458069679131, 0.0000000000000000, -0.93435665404965, 4.6041747518133e-22, 1.0259712327112e-05, 0, 20930150.0000000000000000, 0.0000000000000000, 3.7478731935109089, 3.4817270804311e-05, 4500.0000003353, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 249.9665851, -7.162468857e-05, 5.52509621e-20, 0.9077515689
0.01666666, 0, 0, 0, 0, 0, 0, 0.573142116, 1.52427299e-16, 0, 0.0000000000001758, 0.0000003037842097, -0.0000000000000867, 0.0000000000140609, 0.0000178801027405, -0.0000000000069478, 210.3791002, 16906455.55, 449.744964374, 1591.13527082, 449.6851634487976526, -0.0000000000112626, -7.3339453235940626, 449.6851634487976526, -0.0000000000112626, -7.3339453235940626, 449.7449639983456677, -0.0000000000028017, -0.0001703915779521, 4500.0000030994, 4500.0000030994, -0.0000000000000000, -0.9343252860422145, 0.0000000000000000, -0.93435786145467, -1.4348164117597e-12, 3.0779137001679e-05, -3.1956997067783e-20, 20930150.0000000782310963, -0.0000000000000117, 11.2436195879653749, 0.00010445181241293, 4500.0000030994, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, 7.60102347e-18, -0, 7.60102347e-18, 7.60102347e-18, 7.60102347e-18, 2.66035821e-18, 7.60102347e-18, 0, 0, 1, 0, 249.9665855, -7.318663961e-05, -1.730294662e-10, 0.9077515689
0.03333332, 0, 0, 0, 0, 0, 0, 0.573142116, -2.451834687e-13, 0, 0.0000000000020649, 0.0000008652446443, -0.0000000000008630, 0.0000000001194472, 0.0000336433905680, -0.0000000000488197, 210.3791007, 16906455.57, 449.744964975, 1591.13527102, 449.6851638919079619, -0.0000000000454332, -7.3339549859402497, 449.6851638919079619, -0.0000000000454332, -7.3339549859402497, 449.7449646995974035, -0.0000000000254687, -0.0003410692560317, 4500.0000087023, 4500.0000087023, 0.0000000000000115, -0.9343047576834388, 360.0000030593939755, -0.93435909131623, -5.7880173005744e-12, 5.1298561712573e-05, -6.1133987446778e-19, 20930150.0000003129243851, -0.0000000000002233, 18.7393659956929994, 0.00017408635402156, 4500.0000087023, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -1.22264536e-14, -0, -1.22264536e-14, -1.22264536e-14, -1.22264536e-14, -4.27925876e-15, -1.22264536e-14, 0, 0, 1, 0, 249.9665857, -7.43568211e-05, -3.49595691e-10, 0.9077515689
0.04999998, 0, 0, 0, 0, 0, 0, 0.573142116, -1.184907761e-12, 0, 0.0000000000072449, 0.0000016773147025, -0.0000000000029028, 0.0000000003161177, 0.0000486779786106, -0.0000000001243585, 210.3791011, 16906455.58, 449.744965374, 1591.13527116, 449.6851641313576238, -0.0000000001028122, -7.3339647777215156, 449.6851641313576238, -0.0000000001028122, -7.3339647777215156, 449.7449651992989175, -0.0000000000713183, -0.0005119734436780, 4500.000017155, 4500.000017155, 0.0000000000000778, -0.9342842178409362, 360.0000030593939186, -0.93436033808822, -1.3097876385743e-11, 7.1817986450855e-05, -2.7526220381662e-18, 20930150.0000007115304470, -0.0000000000010055, 26.2351124134307838, 0.00024372089563018, 4500.000017155, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -5.90872617e-14, -0, -5.90872617e-14, -5.90872617e-14, -5.90872617e-14, -2.06805416e-14, -5.90872617e-14, 0, 0, 1, 0, 249.9665858, -7.521890582e-05, -5.277423805e-10, 0.9077515689
0.06666664, 0, 0, 0, 0, 0, 0, 0.573142116, -3.186808127e-12, 0, 0.0000000000170375, 0.0000027275715253, -0.0000000000066973, 0.0000000005921733, 0.0000629687361892, -0.0000000002293912, 210.3791012, 16906455.58, 449.744965571, 1591.13527125, 449.6851641676919371, -0.0000000001835628, -7.3339746602409068, 449.6851641676919371, -0.0000000001835628, -7.3339746602409068, 449.7449654973699467, -0.0000000001407203, -0.0006830969588396, 4500.0000284538, 4500.0000284538, 0.0000000000002657, -0.9342636624401536, 360.0000030593939186, -0.93436159684032, -2.3385194807431e-11, 9.2337411207325e-05, -7.522048625301e-18, 20930150.0000012740492821, -0.0000000000027478, 33.7308588378199943, 0.0003133554372388, 4500.0000284538, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -1.58915126e-13, -0, -1.58915126e-13, -1.58915126e-13, -1.58915126e-13, -5.5620294e-14, -1.58915126e-13, 0, 0, 1, 0, 249.9665858, -7.579748832e-05, -7.068146148e-10, 0.9077515689
0.0833333, 0, 0, 0, 0, 0, 0, 0.573142116, -6.572076288e-12, 0, 0.0000000000325871, 0.0000040035302040, -0.0000000000126747, 0.0000000009369629, 0.0000765106828274, -0.0000000003601370, 210.3791011, 16906455.58, 449.744965567, 1591.13527128, 449.6851640014022564, -0.0000000002877685, -7.3339845979878504, 449.6851640014022564, -0.0000000002877685, -7.3339845979878504, 449.7449655937231796, -0.0000000002340168, -0.0008544338654204, 4500.0000426099, 4500.0000426061, 0.0000000000006627, -0.9342430876151872, 360.0000030593937481, -0.9343628630482, -3.6660606098082e-11, 0.00011285683597278, -1.6002056203148e-17, 20930150.0000020079314709, -0.0000000000058456, 41.2266052655004884, 0.00038298997884742, 4500.0000426061, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -3.27726768e-13, -0, -3.27726768e-13, -3.27726768e-13, -3.27726768e-13, -1.14704369e-13, -3.27726768e-13, 0, 0, 1, 0, 249.9665857, -7.611653893e-05, -8.862490184e-10, 0.9077515689
0.09999996, 0, 0, 0, 0, 0, 0, 0.573142116, -1.162000126e-11, 0, 0.0000000000548798, 0.0000054926960927, -0.0000000000212061, 0.0000000013409871, 0.0000893032113441, -0.0000000005131819, 210.3791008, 16906455.56, 449.744965361, 1591.13527125, 449.6851636329269581, -0.0000000004154451, -7.3339945585265953, 449.6851636329269581, -0.0000000004154451, -7.3339945585265953, 449.7449654882698269, -0.0000000003515296, -0.0010259797300520, 4500.0000596233, 4500.0000596233, 0.0000000000013740, -0.9342224897085151, 360.0000030593934639, -0.93436413257931, -5.292610536222e-11, 0.00013337626073801, -2.929021305923e-17, 20930150.0000029131770134, -0.0000000000106997, 48.7223516931106531, 0.00045262452045604, 4500.0000596233, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -5.7944937e-13, -0, -5.7944937e-13, -5.7944937e-13, -5.7944937e-13, -2.02807279e-13, -5.7944937e-13, 0, 0, 1, 0, 249.9665854, -7.619909686e-05, -1.065571246e-09, 0.9077515689
0.11666662, 0, 0, 0, 0, 0, 0, 0.573142116, -1.857208364e-11, 0, 0.0000000000847608, 0.0000071826310746, -0.0000000000326118, 0.0000000017957935, 0.0001013496891136, -0.0000000006854517, 210.3791003, 16906455.54, 449.744964953, 1591.13527116, 449.6851630626525775, -0.0000000005665513, -7.3340045123725339, 449.6851630626525775, -0.0000000005665513, -7.3340045123725339, 449.7449651809168927, -0.0000000004935648, -0.0011977314980607, 4500.000079494, 4500.000079494, 0.0000000000025204, -0.9342018652705857, 360.0000030593930092, -0.93436540167713, -7.2176461279485e-11, 0.0001538956854938, -4.849839993044e-17, 20930150.0000039935112000, -0.0000000000177165, 56.2180981172873615, 0.00052225906206467, 4500.000079494, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -9.2612573e-13, -0, -9.2612573e-13, -9.2612573e-13, -9.2612573e-13, -3.24144006e-13, -9.2612573e-13, 0, 0, 1, 0, 249.966585, -7.606724278e-05, -1.244387442e-09, 0.9077515689
0.13333328, 0, 0, 0, 0, 0, 0, 0.573142116, -2.763583906e-11, 0, 0.0000000001229507, 0.0000090610133565, -0.0000000000471657, 0.0000000022938810, 0.0001126570702198, -0.0000000008741852, 210.3790996, 16906455.51, 449.744964343, 1591.13527102, 449.6851622909148887, -0.0000000007409995, -7.3340144328651729, 449.6851622909148887, -0.0000000007409995, -7.3340144328651729, 449.7449646715675158, -0.0000000006604170, -0.0013696873755320, 4500.0001022294, 4500.0001022294, 0.0000000000042354, -0.9341812110583629, 360.0000030593923839, -0.93436666694497, -9.4400490792408e-11, 0.00017441511023095, -7.4752188894826e-17, 20930150.0000052526593208, -0.0000000000273070, 63.7138445346659239, 0.00059189360367329, 4500.0001022294, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -1.37810394e-12, -0, -1.37810394e-12, -1.37810394e-12, -1.37810394e-12, -4.82336379e-13, -1.37810394e-12, 0, 0, 1, 0, 249.9665845, -7.574207322e-05, -1.422376294e-09, 0.9077515689
0.14999994, 0, 0, 0, 0, 0, 0, 0.573142116, -3.898830757e-11, 0, 0.0000000001700593, 0.0000111156907365, -0.0000000000651009, 0.0000000028286123, 0.0001232355077473, -0.0000000010769101, 210.3790987, 16906455.47, 449.744963532, 1591.13527081, 449.6851613180003824, -0.0000000009386642, -7.3340242960381010, 449.6851613180003824, -0.0000000009386642, -7.3340242960381010, 449.7449639601201739, -0.0000000008523729, -0.0015418467159183, 4500.0001278333, 4500.0001278333, 0.0000000000066638, -0.9341605240329182, 360.0000030593914744, -0.9343679253294, -1.1958220580919e-10, 0.00019493453494021, -1.0919040214409e-16, 20930150.0000066980719566, -0.0000000000398873, 71.2095909418799948, 0.00066152814528191, 4500.0001278333, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -1.94421237e-12, -0, -1.94421237e-12, -1.94421237e-12, -1.94421237e-12, -6.80474331e-13, -1.94421237e-12, 0, 0, 1, 0, 249.9665839, -7.524368324e-05, -1.599281616e-09, 0.9077515689
0.1666666, 0, 0, 0, 0, 0, 0, 0.573142116, -5.277928709e-11, 0, 0.0000000002265989, 0.0000133347279990, -0.0000000000866133, 0.0000000033941330, 0.0001330979993750, -0.0000000012914202, 210.3790976, 16906455.42, 449.744962517, 1591.13527056, 449.6851601441476873, -0.0000000011593901, -7.3340340804873980, 449.6851601441476873, -0.0000000011593901, -7.3340340804873980, 449.7449630464672623, -0.0000000010697148, -0.0017142099113059, 4500.0001563095, 4500.0001563132, 0.0000000000099598, -0.9341398013561949, 360.0000030593901670, -0.93436917410353, -1.477018406252e-10, 0.00021545395961238, -1.5296483323755e-16, 20930150.0000083297491074, -0.0000000000558781, 78.7053373355614951, 0.00073116268689053, 4500.0001563132, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -2.63192094e-12, -0, -2.63192094e-12, -2.63192094e-12, -2.63192094e-12, -9.21172329e-13, -2.63192094e-12, 0, 0, 1, 0, 249.9665831, -7.459115807e-05, -1.774905449e-09, 0.9077515689
0.18333326, 0, 0, 0, 0, 0, 0, 0.573142116, -6.913430843e-11, 0, 0.0000000002929962, 0.0000157064486329, -0.0000000001118666, 0.0000000039852987, 0.0001422600465384, -0.0000000015157537, 210.3790962, 16906455.36, 449.744961301, 1591.13527024, 449.6851587695493322, -0.0000000014029997, -7.3340437672392342, 449.6851587695493322, -0.0000000014029997, -7.3340437672392342, 449.7449619304947532, -0.0000000013127235, -0.0018867782887755, 4500.0001876615, 4500.0001876615, 0.0000000000142854, -0.9341190403870249, 360.0000030593885754, -0.93437041085007, -1.7873676843861e-10, 0.00023597338423822, -2.0724011434702e-16, 20930150.0000101514160633, -0.0000000000757048, 86.2010837123404912, 0.00080079722849916, 4500.0001876615, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -3.44748942e-12, -0, -3.44748942e-12, -3.44748942e-12, -3.44748942e-12, -1.2066213e-12, -3.44748942e-12, 0, 0, 1, 0, 249.9665822, -7.380256911e-05, -1.949101649e-09, 0.9077515689
0.19999992, 0, 0, 0, 0, 0, 0, 0.573142116, -8.815736819e-11, 0, 0.0000000003696031, 0.0000182194712621, -0.0000000001409952, 0.0000000045976066, 0.0001507393372682, -0.0000000017481736, 210.3790947, 16906455.29, 449.744959882, 1591.13526987, 449.6851571943533941, -0.0000000016692993, -7.3340533396173795, 449.6851571943533941, -0.0000000016692993, -7.3340533396173795, 449.7449606120820818, -0.0000000015816812, -0.0020595540117370, 4500.0002218895, 4500.0002218932, 0.0000000000198090, -0.9340982386764972, 360.0000030593864722, -0.93437163344453, -2.1266231495277e-10, 0.00025649280880849, -2.7319371392042e-16, 20930150.0000121667981148, -0.0000000000997977, 93.6968300688450881, 0.00087043177010778, 4500.0002218932, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -4.39610378e-12, -0, -4.39610378e-12, -4.39610378e-12, -4.39610378e-12, -1.53863632e-12, -4.39610378e-12, 0, 0, 1, 0, 249.9665812, -7.289497613e-05, -2.121769945e-09, 0.9077515689
0.21666658, 0, 0, 0, 0, 0, 0, 0.573142116, -1.09933435e-10, 0, 0.0000000004567059, 0.0000208627409936, -0.0000000001741082, 0.0000000052271340, 0.0001585554431082, -0.0000000019871481, 210.379093, 16906455.22, 449.744958261, 1591.13526944, 449.6851554186652038, -0.0000000019580848, -7.3340627831112739, 449.6851554186652038, -0.0000000019580848, -7.3340627831112739, 449.7449590911014070, -0.0000000018768738, -0.0022325399862790, 4500.0002589971, 4500.0002589971, 0.0000000000267046, -0.9340773939627633, 360.0000030593838005, -0.93437284003834, -2.4945247663671e-10, 0.00027701223331395, -3.5201605010359e-16, 20930150.0000143758952618, -0.0000000001285915, 101.1925764017013734, 0.0009400663117164, 4500.0002589971, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -5.4820011e-12, -0, -5.4820011e-12, -5.4820011e-12, -5.4820011e-12, -1.91870038e-12, -5.4820011e-12, 0, 0, 1, 0, 249.9665801, -7.188443483e-05, -2.292850439e-09, 0.9077515689
0.23333324, 0, 0, 0, 0, 0, 0, 0.573142116, -1.345307439e-10, 0, 0.0000000005545344, 0.0000236255561305, -0.0000000002112923, 0.0000000058704814, 0.0001657295382711, -0.0000000022313338, 210.379091, 16906455.13, 449.744956436, 1591.13526895, 449.6851534425493924, -0.0000000022691465, -7.3340720852454000, 449.6851534425493924, -0.0000000022691465, -7.3340720852454000, 449.7449573674175554, -0.0000000021985926, -0.0024057397725601, 4500.0002989918, 4500.0002989918, 0.0000000000351501, -0.9340565041653580, 360.0000030593806741, -0.93437402904224, -2.8908055083912e-10, 0.00029753165774535, -4.4491070614539e-16, 20930150.0000167861580849, -0.0000000001625259, 108.6883227075332030, 0.001009700853325, 4500.0002989918, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -6.70858402e-12, -0, -6.70858402e-12, -6.70858402e-12, -6.70858402e-12, -2.34800441e-12, -6.70858402e-12, 0, 0, 1, 0, 249.9665789, -7.078600782e-05, -2.462318526e-09, 0.9077515689
0.2499999, 0, 0, 0, 0, 0, 0, 0.573142116, -1.620028918e-10, 0, 0.0000000006632698, 0.0000264975904091, -0.0000000002526146, 0.0000000065247201, 0.0001722841328411, -0.0000000024795588, 210.3790888, 16906455.04, 449.744954409, 1591.13526841, 449.6851512660315393, -0.0000000026022738, -7.3340812354503404, 449.6851512660315393, -0.0000000026022738, -7.3340812354503404, 449.7449554408874519, -0.0000000025471369, -0.0025791575011942, 4500.0003418736, 4500.0003418736, 0.0000000000453271, -0.9340355673791140, 360.0000030593768088, -0.93437519910986, -3.3151968460091e-10, 0.00031805108209344, -5.5309473487662e-16, 20930150.0000194013118744, -0.0000000002020455, 116.1840689829621311, 0.0010793353949336, 4500.0003418736, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -8.07852524e-12, -0, -8.07852524e-12, -8.07852524e-12, -8.07852524e-12, -2.82748384e-12, -8.07852524e-12, 0, 0, 1, 0, 249.9665775, -6.961378037e-05, -2.630180213e-09, 0.9077515689
0.26666656, 0, 0, 0, 0, 0, 0, 0.573142116, -1.923907485e-10, 0, 0.0000000007830512, 0.0000294689112229, -0.0000000002981254, 0.0000000071873448, 0.0001782428320806, -0.0000000027308075, 210.3790865, 16906454.94, 449.744952179, 1591.13526781, 449.6851488891002191, -0.0000000029572583, -7.3340902249362925, 449.6851488891002191, -0.0000000029572583, -7.3340902249362925, 449.7449533113600637, -0.0000000029228150, -0.0027527977945700, 4500.0003876463, 4500.0003876425, 0.0000000000574199, -0.9340145818677404, 360.0000030593722045, -0.93437634912158, -3.7674334862812e-10, 0.00033857050634896, -6.7779904020128e-16, 20930150.0000222250819206, -0.0000000002476000, 123.6798152246072675, 0.0011489699365423, 4500.0003876425, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -9.59386281e-12, -0, -9.59386281e-12, -9.59386281e-12, -9.59386281e-12, -3.35785198e-12, -9.59386281e-12, 0, 0, 1, 0, 249.966576, -6.838088142e-05, -2.796467818e-09, 0.9077515689
0.28333322, 0, 0, 0, 0, 0, 0, 0.573142116, -2.257241945e-10, 0, 0.0000000009139828, 0.0000325299940220, -0.0000000003478603, 0.0000000078562293, 0.0001836301058976, -0.0000000029842063, 210.3790839, 16906454.83, 449.744949746, 1591.13526715, 449.6851463117089338, -0.0000000033338975, -7.3340990465693112, 449.6851463117089338, -0.0000000033338975, -7.3340990465693112, 449.7449509786760586, -0.0000000033259454, -0.0029266656932636, 4500.0004363172, 4500.0004363209, 0.0000000000716146, -0.9339935460571313, 360.0000030593668043, -0.9343774781688, -4.2472574259189e-10, 0.00035908993050264, -8.2026882435729e-16, 20930150.0000252611935139, -0.0000000002996442, 131.1755614290851213, 0.0012186044781509, 4500.0004363209, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -1.12560867e-11, -0, -1.12560867e-11, -1.12560867e-11, -1.12560867e-11, -3.93963036e-12, -1.12560867e-11, 0, 0, 1, 0, 249.9665744, -6.709950463e-05, -2.961236028e-09, 0.9077515689
0.29999988, 0, 0, 0, 0, 0, 0, 0.573142116, -2.620236971e-10, 0, 0.0000000010561387, 0.0000356717331518, -0.0000000004018427, 0.0000000085295868, 0.0001884710749951, -0.0000000032390104, 210.3790811, 16906454.71, 449.74494711, 1591.13526643, 449.6851435337780458, -0.0000000037319973, -7.3341076947506103, 449.6851435337780458, -0.0000000037319973, -7.3341076947506103, 449.7449484426683171, -0.0000000037568584, -0.0031007665871234, 4500.0004878938, 4500.0004878938, 0.0000000000880989, -0.9339724585284621, 360.0000030593606084, -0.93437858553849, -4.7544213757099e-10, 0.00037960935454521, -9.8176409051079e-16, 20930150.0000285133719444, -0.0000000003586384, 138.6713075930095442, 0.0012882390197595, 4500.0004878938, 20925650, 0.0285806198, 0.0100032169, 0.0285806198, 0, 0, 0, 0, 0, 0, -1.30662177e-11, -0, -1.30662177e-11, -1.30662177e-11, -1.30662177e-11, -4.57317619e-12, -1.30662177e-11, 0, 0, 1, 0, 249.9665727, -6.578093382e-05, -3.124558293e-09, 0.9077515689
